claim_id,claim_type,topic,claim_text,companies,mechanism,direction,horizon,metric,value,unit,source_report_id,source_title,page,section,source_tier,evidence_span,confidence,as_of_date,exposure_level,review_status,reviewer_note,quality_flags,conflict_group_id
claim_62cbc8c6b7971e12,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：涉及技术CloudOS。证据：同上,"[""紫光股份""]",紫光股份 在 算力网络 的关系为涉及技术CloudOS,neutral,,,,,annual_000938_2025,2025年年度报告,15,覆盖全球的销售网络,1,同上,0.90,2025,core,auto,,,
claim_db16bcccac98a8f2,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：涉及技术AI in ALL。证据：致力于成为以“AI in ALL”为核心的全球化云网边端解决方案服务商,"[""紫光股份""]",紫光股份 在 算力网络 的关系为涉及技术AI in ALL,neutral,,,,,annual_000938_2025,2025年年度报告,36,资金需求及使用计划,1,致力于成为以“AI in ALL”为核心的全球化云网边端解决方案服务商,0.90,2025,core,auto,,,
claim_bf755ba88fa647bc,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：具有敞口数字化及AI解决方案。证据：作为数字化及AI解决方案领导者，公司提供全栈智能化的信息通信（ICT）基础设施、云与智能平台，以及数字化转型及智能化升级解决方案。,"[""紫光股份""]",紫光股份 在 算力网络 的关系为具有敞口数字化及AI解决方案,neutral,,,,,annual_000938_2025,2025年年度报告,8,注册变更情况,1,作为数字化及AI解决方案领导者，公司提供全栈智能化的信息通信（ICT）基础设施、云与智能平台，以及数字化转型及智能化升级解决方案。,1.00,2025,core,auto,,,
claim_369325682d0ee64e,indicator,算力网络,算力网络 的可跟踪指标：紫光股份披露指标归属于上市公司股东的净利润。证据：公司实现归属于上市公司股东的净利润16.86亿元,"[""紫光股份""]",紫光股份 在 算力网络 的关系为披露指标归属于上市公司股东的净利润,neutral,,归属于上市公司股东的净利润,16.86,亿元,annual_000938_2025,2025年年度报告,16,主营业务分析,1,公司实现归属于上市公司股东的净利润16.86亿元,1.00,2025,core,auto,,,
claim_373d8356d6e9917a,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：涉及技术智算技术。证据：公司将持续深化智算技术创新，进行产品迭代升级,"[""紫光股份""]",紫光股份 在 算力网络 的关系为涉及技术智算技术,neutral,,,,,annual_000938_2025,2025年年度报告,35,公司未来发展的展望,1,公司将持续深化智算技术创新，进行产品迭代升级,0.80,2025,core,auto,,,
claim_910bc7e4f9d2267f,company_exposure,数据中心,紫光股份 对 数据中心 的公司敞口为 direct：拥有产品数据中心控制器7.4版本。证据：完成数据中心控制器 7.4 版本发布,"[""紫光股份""]",紫光股份 在 数据中心 的关系为拥有产品数据中心控制器7.4版本,neutral,,,7.4,,annual_000938_2025,2025年年度报告,26,费用,1,完成数据中心控制器 7.4 版本发布,1.00,2025,direct,auto,,,
claim_01629214b9a108bc,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：拥有产品数据中心控制器7.4版本。证据：完成数据中心控制器 7.4 版本发布,"[""紫光股份""]",紫光股份 在 算力网络 的关系为拥有产品数据中心控制器7.4版本,neutral,,,7.4,,annual_000938_2025,2025年年度报告,26,费用,1,完成数据中心控制器 7.4 版本发布,1.00,2025,core,auto,,,
claim_925ae9cb0136b04c,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：具有敞口AI。证据：作为数字化及AI解决方案提供者,"[""紫光股份""]",紫光股份 在 算力网络 的关系为具有敞口AI,neutral,,,,,annual_000938_2025,2025年年度报告,113,基本情况,1,作为数字化及AI解决方案提供者,1.00,2025,core,auto,,,
claim_358e971d2878e5a9,company_exposure,国产算力,紫光股份 对 国产算力 的公司敞口为 direct：拥有产品自主可控大容量交换机项目。证据：完成高密400GE框式和盒式交换机发布,"[""紫光股份""]",紫光股份 在 国产算力 的关系为拥有产品自主可控大容量交换机项目,neutral,,,400,,annual_000938_2025,2025年年度报告,25,费用,1,完成高密400GE框式和盒式交换机发布,1.00,2025,direct,auto,,,
claim_ef10e0987f9a926e,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：拥有产品自主可控大容量交换机项目。证据：完成高密400GE框式和盒式交换机发布,"[""紫光股份""]",紫光股份 在 算力网络 的关系为拥有产品自主可控大容量交换机项目,neutral,,,400,,annual_000938_2025,2025年年度报告,25,费用,1,完成高密400GE框式和盒式交换机发布,1.00,2025,core,auto,,,
claim_8af38d7e82dc98d6,indicator,算力网络,"算力网络 的可跟踪指标：紫光股份披露指标营业收入。证据：合计65,889,803,802.79 23,721,239,458.45 87,985,663.22 (7,067,182,306.07) 82,631,846,618.39","[""紫光股份""]",紫光股份 在 算力网络 的关系为披露指标营业收入,neutral,,营业收入,65889803802.79,,annual_000938_2025,2025年年度报告,189,合并财务报表主要项目注释（续）,1,"合计65,889,803,802.79 23,721,239,458.45 87,985,663.22 (7,067,182,306.07) 82,631,846,618.39",1.00,2025,core,auto,,,
claim_8afdf341280b6c2e,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：拥有产品Wi-Fi 7 新产品。证据：公司发布多款全场景Wi-Fi 7 新产品,"[""紫光股份""]",紫光股份 在 算力网络 的关系为拥有产品Wi-Fi 7 新产品,neutral,,,7,,annual_000938_2025,2025年年度报告,18,核心竞争力,1,公司发布多款全场景Wi-Fi 7 新产品,0.90,2025,core,auto,,,
claim_629bec7296ecdefd,risk,算力网络,紫光股份 在 算力网络 相关业务中的风险：经营成本上升风险。证据：随着公司经营规模的不断扩大，人员成本、房租、物流等各项经营成本及费用可能随之上涨，进而压缩公司的利润空间，对公司整体利润的提升产生不利影响。,"[""紫光股份""]",紫光股份 在 算力网络 的关系为披露风险经营成本上升风险,negative,near_term,,,,annual_000938_2025,2025年年度报告,37,报告期内接待调研、沟通、采访等活动,1,随着公司经营规模的不断扩大，人员成本、房租、物流等各项经营成本及费用可能随之上涨，进而压缩公司的利润空间，对公司整体利润的提升产生不利影响。,0.90,2025,core,auto,,,
claim_82cf22506d55d3ff,indicator,算力网络,"算力网络 的可跟踪指标：紫光股份披露指标研发费用_2024。证据：研发费用53 5,101,818,089.81","[""紫光股份""]",紫光股份 在 算力网络 的关系为披露指标研发费用_2024,neutral,,研发费用_2024,2024,,annual_000938_2025,2025年年度报告,100,营业收入,1,"研发费用53 5,101,818,089.81",1.00,2025,core,auto,,,
claim_645243006dfa1828,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：拥有产品矿用本安Wi-Fi 7 产品。证据：率先发布第一款矿用本安Wi-Fi 7 产品,"[""紫光股份""]",紫光股份 在 算力网络 的关系为拥有产品矿用本安Wi-Fi 7 产品,neutral,,,7,,annual_000938_2025,2025年年度报告,15,覆盖全球的销售网络,1,率先发布第一款矿用本安Wi-Fi 7 产品,0.90,2025,core,auto,,,
claim_748ff1a5a05785bd,indicator,算力网络,"算力网络 的可跟踪指标：紫光股份披露指标经营活动产生的现金流量净额。证据：2025年经营活动产生的现金流量净额3,486,751,492.84元","[""紫光股份""]",紫光股份 在 算力网络 的关系为披露指标经营活动产生的现金流量净额,neutral,near_term,经营活动产生的现金流量净额,2025,,annual_000938_2025,2025年年度报告,199,合并财务报表主要项目注释（续）,1,"2025年经营活动产生的现金流量净额3,486,751,492.84元",1.00,2025,core,auto,,,
claim_d43ac4f93bc1463a,company_exposure,液冷,紫光股份 对 液冷 的公司敞口为 indirect：拥有产品H3C UniPoD S80000超节点。证据：H3C UniPoD S80000 超节点产品，大幅提升通信效率和模型算力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持,"[""紫光股份""]",紫光股份 在 液冷 的关系为拥有产品H3C UniPoD S80000超节点,neutral,,,3,,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,H3C UniPoD S80000 超节点产品，大幅提升通信效率和模型算力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持,0.90,2025,indirect,auto,,,
claim_d6bdfa51efa89be5,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：拥有产品H3C UniPoD S80000超节点。证据：H3C UniPoD S80000 超节点产品，大幅提升通信效率和模型算力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持,"[""紫光股份""]",紫光股份 在 算力网络 的关系为拥有产品H3C UniPoD S80000超节点,neutral,,,3,,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,H3C UniPoD S80000 超节点产品，大幅提升通信效率和模型算力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持,0.90,2025,core,auto,,,
claim_f7b4f838c774d2e0,company_exposure,液冷,紫光股份 对 液冷 的公司敞口为 indirect：涉及技术液冷散热。证据：关键部件实现液冷散热,"[""紫光股份""]",紫光股份 在 液冷 的关系为涉及技术液冷散热,neutral,,,,,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,关键部件实现液冷散热,0.90,2025,indirect,auto,,,
claim_3ea85d2531a51867,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：涉及技术液冷散热。证据：关键部件实现液冷散热,"[""紫光股份""]",紫光股份 在 算力网络 的关系为涉及技术液冷散热,neutral,,,,,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,关键部件实现液冷散热,0.90,2025,core,auto,,,
claim_f823104dd82e6ab2,indicator,算力网络,"算力网络 的可跟踪指标：紫光股份披露指标营业收入。证据：营业收入（元）2025年96,748,339,344.03","[""紫光股份""]",紫光股份 在 算力网络 的关系为披露指标营业收入,neutral,near_term,营业收入,2025,,annual_000938_2025,2025年年度报告,9,□是 √否,1,"营业收入（元）2025年96,748,339,344.03",1.00,2025,core,auto,,,
claim_c6f3a68f14d8593d,indicator,算力网络,"算力网络 的可跟踪指标：紫光股份披露指标净利润_2024。证据：净利润 1,982,277,033.02","[""紫光股份""]",紫光股份 在 算力网络 的关系为披露指标净利润_2024,neutral,,净利润_2024,2024,,annual_000938_2025,2025年年度报告,100,营业收入,1,"净利润 1,982,277,033.02",1.00,2025,core,auto,,,
claim_b76ac700cace816f,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：拥有产品CAS虚拟化产品。证据：完成 CAS 虚拟化产品升级版本发布,"[""紫光股份""]",紫光股份 在 算力网络 的关系为拥有产品CAS虚拟化产品,neutral,,,,,annual_000938_2025,2025年年度报告,26,费用,1,完成 CAS 虚拟化产品升级版本发布,1.00,2025,core,auto,,,
claim_f93c1a1cced68d8d,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：拥有产品服务器。证据：公司服务器、交换机、路由器、安全等产品中标包括中国移动、中国电信、中国联通、中国铁塔在内的多个集采项目。,"[""紫光股份""]",紫光股份 在 算力网络 的关系为拥有产品服务器,neutral,,,,,annual_000938_2025,2025年年度报告,19,抢抓产业机遇，助力国内行业客户增强数智化水平,1,公司服务器、交换机、路由器、安全等产品中标包括中国移动、中国电信、中国联通、中国铁塔在内的多个集采项目。,0.90,2025,core,auto,,,
claim_cc11a72dcfa34aaf,indicator,算力网络,算力网络 的可跟踪指标：紫光股份披露指标IT产品分销与供应链服务收入占比。证据：IT产品分销与供应链服务占营业收入比重：26.42%。,"[""紫光股份""]",紫光股份 在 算力网络 的关系为披露指标IT产品分销与供应链服务收入占比,neutral,,IT产品分销与供应链服务收入占比,26.42,%,annual_000938_2025,2025年年度报告,20,单位：元,1,IT产品分销与供应链服务占营业收入比重：26.42%。,1.00,2025,core,auto,,,
claim_356a9efca2db3373,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：属于环节AI算力产业链。证据：公司作为数字化及AI解决方案领导者，为人工智能...提供...产品,"[""紫光股份""]",紫光股份 在 算力网络 的关系为属于环节AI算力产业链,neutral,,,,,annual_000938_2025,2025年年度报告,35,公司未来发展的展望,1,公司作为数字化及AI解决方案领导者，为人工智能...提供...产品,0.90,2025,core,auto,,,
claim_6db91fe410e0225c,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：拥有产品灵犀使能平台。证据：公司陆续推出百业灵犀私域大模型、灵犀使能平台、灵犀推理引擎、灵犀AI助手、灵犀Cube一体机及多个行业智能体,"[""紫光股份""]",紫光股份 在 算力网络 的关系为拥有产品灵犀使能平台,neutral,,,,,annual_000938_2025,2025年年度报告,13,核心竞争力分析,1,公司陆续推出百业灵犀私域大模型、灵犀使能平台、灵犀推理引擎、灵犀AI助手、灵犀Cube一体机及多个行业智能体,0.90,2025,core,auto,,,
claim_c9649fdc60d4a333,risk,算力网络,紫光股份 在 算力网络 相关业务中的风险：商誉减值风险。证据：本集团对商誉进行减值测试...经测试认定本集团收购新华三产生的商誉资产未发生减值,"[""紫光股份""]",紫光股份 在 算力网络 的关系为披露风险商誉减值风险,negative,,,,,annual_000938_2025,2025年年度报告,172,合并财务报表主要项目注释（续）,1,本集团对商誉进行减值测试...经测试认定本集团收购新华三产生的商誉资产未发生减值,0.80,2025,core,auto,,,
claim_10268372747b4434,risk,算力网络,"紫光股份 在 算力网络 相关业务中的风险：委托理财风险。证据：报告期内委托理财的余额为54,809.27万元，存在逾期未收回风险。","[""紫光股份""]",紫光股份 在 算力网络 的关系为披露风险委托理财风险,negative,near_term,,54809.27,万元,annual_000938_2025,2025年年度报告,80,单位：万元,1,"报告期内委托理财的余额为54,809.27万元，存在逾期未收回风险。",0.90,2025,core,auto,,,
claim_7fe7cd33049a554c,indicator,算力网络,"算力网络 的可跟踪指标：紫光股份披露指标研发费用_2024。证据：研发费用2,415,370.08 8,990,983.65","[""紫光股份""]",紫光股份 在 算力网络 的关系为披露指标研发费用_2024,neutral,,研发费用_2024,2024,,annual_000938_2025,2025年年度报告,108,89 -减：营业外支出,1,"研发费用2,415,370.08 8,990,983.65",1.00,2025,core,auto,,,
claim_dced247484972cce,indicator,算力网络,"算力网络 的可跟踪指标：紫光股份披露指标经营活动产生的现金流量净额。证据：表格中经营活动产生的现金流量净额2025年3,486,751,492.84元","[""紫光股份""]",紫光股份 在 算力网络 的关系为披露指标经营活动产生的现金流量净额,neutral,near_term,经营活动产生的现金流量净额,2025,,annual_000938_2025,2025年年度报告,28,单位：元,1,"表格中经营活动产生的现金流量净额2025年3,486,751,492.84元",1.00,2025,core,auto,,,
claim_f64de6cbd3434dcc,indicator,算力网络,算力网络 的可跟踪指标：紫光股份拥有产品数据中心交换机。证据：中国数据中心交换机市场份额33.1%，排名第二,"[""紫光股份""]",紫光股份 在 算力网络 的关系为拥有产品数据中心交换机,neutral,,,33.1,%,annual_000938_2025,2025年年度报告,14,优质的客户资源和丰富的数字化转型实践经验,1,中国数据中心交换机市场份额33.1%，排名第二,0.90,2025,core,auto,,,
claim_f44beeb8f081cfa9,indicator,数据中心,数据中心 的可跟踪指标：紫光股份拥有产品数据中心交换机。证据：中国数据中心交换机市场份额33.1%，排名第二,"[""紫光股份""]",紫光股份 在 数据中心 的关系为拥有产品数据中心交换机,neutral,,,33.1,%,annual_000938_2025,2025年年度报告,14,优质的客户资源和丰富的数字化转型实践经验,1,中国数据中心交换机市场份额33.1%，排名第二,0.90,2025,direct,auto,,,
claim_ac4d35305cbacf60,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：拥有产品MegaBook 双系统平板。证据：完成业内首发MegaBook 双系统平板产品发布,"[""紫光股份""]",紫光股份 在 算力网络 的关系为拥有产品MegaBook 双系统平板,neutral,,,,,annual_000938_2025,2025年年度报告,27,公司研发投入情况,1,完成业内首发MegaBook 双系统平板产品发布,1.00,2025,core,auto,,,
claim_d907fd076658ebc2,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：拥有产品数字化转型及智能化升级解决方案。证据：为客户提供网络、计算、存储、云计算、安全和智能终端等全栈智能化信息通信（ICT）基础设施、云与智能平台，以及数字化转型及智能化升级的解决方案。,"[""紫光股份""]",紫光股份 在 算力网络 的关系为拥有产品数字化转型及智能化升级解决方案,neutral,,,,,annual_000938_2025,2025年年度报告,113,基本情况,1,为客户提供网络、计算、存储、云计算、安全和智能终端等全栈智能化信息通信（ICT）基础设施、云与智能平台，以及数字化转型及智能化升级的解决方案。,1.00,2025,core,auto,,,
claim_1e96b2b1d9e273be,policy,算力网络,算力网络 机理/传导：紫光股份政策支撑质量回报双提升行动方案。证据：公司制定了“质量回报双提升”行动方案，具体举措包括夯实主业优势、坚持技术创新等,"[""紫光股份""]",紫光股份 在 算力网络 的关系为政策支撑质量回报双提升行动方案,positive,,,,,annual_000938_2025,2025年年度报告,39,市值管理制度和估值提升计划的制定落实情况,1,公司制定了“质量回报双提升”行动方案，具体举措包括夯实主业优势、坚持技术创新等,1.00,2025,core,auto,,,
claim_a1f0a6584503e682,policy,算力网络,算力网络 机理/传导：紫光股份政策支撑内部研究开发支出会计政策。证据：本集团将内部研究开发项目的支出，区分为研究阶段支出和开发阶段支出,"[""紫光股份""]",紫光股份 在 算力网络 的关系为政策支撑内部研究开发支出会计政策,positive,,,,,annual_000938_2025,2025年年度报告,130,重要会计政策及会计估计（续）,1,本集团将内部研究开发项目的支出，区分为研究阶段支出和开发阶段支出,0.90,2025,core,auto,,,
claim_faf8bbdb9b1a3c82,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：拥有产品云计算。证据：持续在网络、安全、计算、存储、云计算、人工智能等重点领域的研发投入，夯实“云—网—安—算—存—端”全栈业务布局,"[""紫光股份""]",紫光股份 在 算力网络 的关系为拥有产品云计算,neutral,,,,,annual_000938_2025,2025年年度报告,24,费用,1,持续在网络、安全、计算、存储、云计算、人工智能等重点领域的研发投入，夯实“云—网—安—算—存—端”全栈业务布局,0.90,2025,core,auto,,,
claim_f83d72017735e5e2,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：拥有产品防火墙AI 运维助手。证据：公司防火墙AI 运维助手可提升防火墙在业务部署、故障诊断和知识问答等方面的智能化水平,"[""紫光股份""]",紫光股份 在 算力网络 的关系为拥有产品防火墙AI 运维助手,neutral,,,,,annual_000938_2025,2025年年度报告,18,核心竞争力,1,公司防火墙AI 运维助手可提升防火墙在业务部署、故障诊断和知识问答等方面的智能化水平,0.90,2025,core,auto,,,
claim_eb2a4948c332d836,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：拥有产品芯模社区。证据：以芯模社区为平台,"[""紫光股份""]",紫光股份 在 算力网络 的关系为拥有产品芯模社区,neutral,,,,,annual_000938_2025,2025年年度报告,36,资金需求及使用计划,1,以芯模社区为平台,0.90,2025,core,auto,,,
claim_60dab9bde6c5f01d,company_exposure,液冷,紫光股份 对 液冷 的公司敞口为 mentioned：拥有产品国芯超低时延交换机。证据：公司发布了面向极速交易场景的新一代国芯超低时延交换机,"[""紫光股份""]",紫光股份 在 液冷 的关系为拥有产品国芯超低时延交换机,neutral,,,,,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,公司发布了面向极速交易场景的新一代国芯超低时延交换机,0.90,2025,mentioned,auto,,,
claim_19a9afb7adb8d603,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：拥有产品国芯超低时延交换机。证据：公司发布了面向极速交易场景的新一代国芯超低时延交换机,"[""紫光股份""]",紫光股份 在 算力网络 的关系为拥有产品国芯超低时延交换机,neutral,,,,,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,公司发布了面向极速交易场景的新一代国芯超低时延交换机,0.90,2025,core,auto,,,
claim_e8e1b19d47399ab3,company_exposure,液冷,紫光股份 对 液冷 的公司敞口为 mentioned：拥有产品DDC架构新一代无损网络解决方案。证据：发布基于DDC（Diversity Dynamic-Connectivity，多元动态联接）架构的新一代无损网络解决方案,"[""紫光股份""]",紫光股份 在 液冷 的关系为拥有产品DDC架构新一代无损网络解决方案,neutral,,,,,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,发布基于DDC（Diversity Dynamic-Connectivity，多元动态联接）架构的新一代无损网络解决方案,0.90,2025,mentioned,auto,,,
claim_00d13e3b37232513,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：拥有产品DDC架构新一代无损网络解决方案。证据：发布基于DDC（Diversity Dynamic-Connectivity，多元动态联接）架构的新一代无损网络解决方案,"[""紫光股份""]",紫光股份 在 算力网络 的关系为拥有产品DDC架构新一代无损网络解决方案,neutral,,,,,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,发布基于DDC（Diversity Dynamic-Connectivity，多元动态联接）架构的新一代无损网络解决方案,0.90,2025,core,auto,,,
claim_915d216f03cb4341,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：属于环节算力产业链。证据：公司坚持“算力×联接”战略，重视技术创新，构建了包括全栈智能的底层数字基础设施、中层云与智能平台、上层AI“训—推—用”使能平台在内的一体化AI赋能平台,"[""紫光股份""]",紫光股份 在 算力网络 的关系为属于环节算力产业链,neutral,,,,,annual_000938_2025,2025年年度报告,13,核心竞争力分析,1,公司坚持“算力×联接”战略，重视技术创新，构建了包括全栈智能的底层数字基础设施、中层云与智能平台、上层AI“训—推—用”使能平台在内的一体化AI赋能平台,0.90,2025,core,auto,,,
claim_c452213166251cce,mechanism,算力网络,算力网络 机理/传导：紫光股份受益于大规模算力集群。证据：与多家头部互联网客户持续推进大规模算力集群与超节点系统建设。,"[""紫光股份""]",紫光股份 在 算力网络 的关系为受益于大规模算力集群,positive,,,,,annual_000938_2025,2025年年度报告,19,抢抓产业机遇，助力国内行业客户增强数智化水平,1,与多家头部互联网客户持续推进大规模算力集群与超节点系统建设。,0.80,2025,core,auto,,,
claim_a33b1a9dd4409985,bottleneck,算力网络,算力网络 的约束或瓶颈：宏观经济环境变化风险约束紫光股份。证据：若未来全球经济增长持续放缓或我国宏观经济出现短期波动、数字化建设投资放缓，可能对公司经营产生一定的影响,"[""紫光股份""]",宏观经济环境变化风险 约束 紫光股份,negative,near_term,,,,annual_000938_2025,2025年年度报告,36,资金需求及使用计划,1,若未来全球经济增长持续放缓或我国宏观经济出现短期波动、数字化建设投资放缓，可能对公司经营产生一定的影响,0.90,2025,,auto,,,
